types,counts,probs,total_unique
day,314,0.0007981069107416549,29406
d,311,0.0007904816854797918,29406
something,310,0.0007879399437258376,29406
other,304,0.0007726894932021117,29406
him,303,0.0007701477514481574,29406
off,303,0.0007701477514481574,29406
man,303,0.0007701477514481574,29406
going,302,0.000767606009694203,29406
many,302,0.000767606009694203,29406
any,301,0.0007650642679402487,29406
year,298,0.0007574390426783858,29406
de,297,0.0007548973009244315,29406
big,292,0.0007421885921546599,29406
though,291,0.0007396468504007056,29406
character,289,0.000734563366892797,29406
right,285,0.0007243963998769797,29406
go,283,0.0007193129163690711,29406
before,279,0.0007091459493532538,29406
such,272,0.0006913537570755736,29406
those,272,0.0006913537570755736,29406
thought,270,0.0006862702735676649,29406
die,269,0.0006837285318137107,29406
want,267,0.000678645048305802,29406
part,263,0.0006684780812899847,29406
through,261,0.0006633945977820761,29406
makes,261,0.0006633945977820761,29406
2,258,0.0006557693725202132,29406
child,257,0.0006532276307662589,29406
around,257,0.0006532276307662589,29406
does,256,0.0006506858890123045,29406
sure,254,0.0006456024055043959,29406
should,245,0.0006227267297188071,29406
scene,243,0.0006176432462108985,29406
work,243,0.0006176432462108985,29406
real,243,0.0006176432462108985,29406
same,242,0.0006151015044569442,29406
review,241,0.0006125597627029899,29406
end,240,0.0006100180209490355,29406
animation,239,0.0006074762791950812,29406
bit,238,0.0006049345374411269,29406
long,238,0.0006049345374411269,29406
may,237,0.0006023927956871726,29406
cast,234,0.0005947675704253097,29406
und,234,0.0005947675704253097,29406
ll,233,0.0005922258286713553,29406
again,230,0.0005846006034094924,29406
times,229,0.000582058861655538,29406
kind,228,0.0005795171199015838,29406
favorite,228,0.0005795171199015838,29406
isn,227,0.0005769753781476294,29406
original,227,0.0005769753781476294,29406
am,226,0.0005744336363936751,29406
childhood,225,0.0005718918946397209,29406
heart,223,0.0005668084111318122,29406
doesn,222,0.0005642666693778578,29406
look,222,0.0005642666693778578,29406
new,222,0.0005642666693778578,29406
probably,221,0.0005617249276239036,29406
things,221,0.0005617249276239036,29406
remember,220,0.0005591831858699492,29406
5,219,0.0005566414441159949,29406
baby,218,0.0005540997023620407,29406
que,217,0.0005515579606080863,29406
everything,217,0.0005515579606080863,29406
funny,217,0.0005515579606080863,29406
comedy,215,0.0005464744771001776,29406
animated,214,0.0005439327353462234,29406
classic,213,0.000541390993592269,29406
plot,210,0.0005337657683304061,29406
cute,209,0.0005312240265764518,29406
since,209,0.0005312240265764518,29406
feels,209,0.0005312240265764518,29406
down,207,0.0005261405430685432,29406
adventure,206,0.0005235988013145888,29406
loved,205,0.0005210570595606345,29406
enough,205,0.0005210570595606345,29406
young,204,0.0005185153178066802,29406
cinema,202,0.0005134318342987716,29406
take,202,0.0005134318342987716,29406
3,202,0.0005134318342987716,29406
beautiful,199,0.0005058066090369086,29406
said,199,0.0005058066090369086,29406
john,198,0.0005032648672829543,29406
another,196,0.0004981813837750457,29406
weird,196,0.0004981813837750457,29406
fuck,196,0.0004981813837750457,29406
quite,193,0.0004905561585131828,29406
us,192,0.0004880144167592284,29406
making,189,0.0004803891914973655,29406
definitely,188,0.0004778474497434112,29406
fucking,188,0.0004778474497434112,29406
whole,188,0.0004778474497434112,29406
least,187,0.00047530570798945686,29406
der,186,0.00047276396623550254,29406
saw,186,0.00047276396623550254,29406
music,185,0.0004702222244815482,29406
need,185,0.0004702222244815482,29406
la,185,0.0004702222244815482,29406
few,185,0.0004702222244815482,29406
half,184,0.0004676804827275939,29406
10,183,0.0004651387409736396,29406
song,183,0.0004651387409736396,29406
star,181,0.000460055257465731,29406
last,181,0.000460055257465731,29406
minutes,179,0.00045497177395782234,29406
shit,179,0.00045497177395782234,29406
between,179,0.00045497177395782234,29406
find,178,0.000452430032203868,29406
maybe,177,0.0004498882904499137,29406
songs,177,0.0004498882904499137,29406
musical,176,0.0004473465486959594,29406
perfect,175,0.00044480480694200506,29406
anything,175,0.00044480480694200506,29406
wasn,174,0.0004422630651880508,29406
gets,171,0.0004346378399261878,29406
our,170,0.0004320960981722335,29406
nothing,170,0.0004320960981722335,29406
nostalgia,170,0.0004320960981722335,29406
having,169,0.0004295543564182792,29406
e,168,0.00042701261466432486,29406
yet,167,0.00042447087291037054,29406
absolutely,165,0.00041938738940246195,29406
everyone,163,0.0004143039058945533,29406
both,163,0.0004143039058945533,29406
hate,161,0.00040922042238664466,29406
dog,161,0.00040922042238664466,29406
boy,161,0.00040922042238664466,29406
special,161,0.00040922042238664466,29406
girl,161,0.00040922042238664466,29406
set,161,0.00040922042238664466,29406
place,160,0.00040667868063269034,29406
high,160,0.00040667868063269034,29406
o,160,0.00040667868063269034,29406
come,160,0.00040667868063269034,29406
felt,158,0.00040159519712478175,29406
might,157,0.00039905345537082743,29406
hard,156,0.0003965117136168731,29406
wee,154,0.00039142823010896447,29406
give,153,0.00038888648835501015,29406
let,153,0.00038888648835501015,29406
own,151,0.0003838030048471015,29406
nice,151,0.0003838030048471015,29406
90s,150,0.0003812612630931472,29406
almost,149,0.0003787195213391929,29406
show,149,0.0003787195213391929,29406
full,149,0.0003787195213391929,29406
santa,148,0.0003761777795852386,29406
school,148,0.0003761777795852386,29406
home,147,0.0003736360378312843,29406
once,147,0.0003736360378312843,29406
believe,146,0.00037109429607732995,29406
honestly,146,0.00037109429607732995,29406
pee,146,0.00037109429607732995,29406
gamera,146,0.00037109429607732995,29406
1,146,0.00037109429607732995,29406
wish,145,0.00036855255432337563,29406
stars,145,0.00036855255432337563,29406
god,144,0.0003660108125694213,29406
version,144,0.0003660108125694213,29406
tell,144,0.0003660108125694213,29406
entire,143,0.000363469070815467,29406
today,140,0.0003558438455536041,29406
put,140,0.0003558438455536041,29406
literally,140,0.0003558438455536041,29406
must,140,0.0003558438455536041,29406
seeing,140,0.0003558438455536041,29406
stop,139,0.00035330210379964976,29406
during,138,0.00035076036204569543,29406
sweet,138,0.00035076036204569543,29406
moments,138,0.00035076036204569543,29406
far,138,0.00035076036204569543,29406
yes,138,0.00035076036204569543,29406
fact,137,0.0003482186202917411,29406
without,137,0.0003482186202917411,29406
night,136,0.0003456768785377868,29406
director,135,0.00034313513678383247,29406
oh,135,0.00034313513678383247,29406
away,135,0.00034313513678383247,29406
point,135,0.00034313513678383247,29406
mean,134,0.00034059339502987815,29406
used,134,0.00034059339502987815,29406
top,133,0.0003380516532759239,29406
enjoyed,133,0.0003380516532759239,29406
miyazaki,132,0.00033550991152196956,29406
found,131,0.00033296816976801524,29406
charming,130,0.0003304264280140609,29406
friends,129,0.0003278846862601066,29406
ernest,129,0.0003278846862601066,29406
robin,129,0.0003278846862601066,29406
cgi,129,0.0003278846862601066,29406
mom,129,0.0003278846862601066,29406
truly,128,0.0003253429445061523,29406
especially,128,0.0003253429445061523,29406
instead,128,0.0003253429445061523,29406
together,127,0.00032280120275219795,29406
doing,127,0.00032280120275219795,29406
scenes,126,0.00032025946099824363,29406
wanted,125,0.00031771771924428936,29406
y,125,0.00031771771924428936,29406
truth,124,0.00031517597749033504,29406
handle,124,0.00031517597749033504,29406
looks,124,0.00031517597749033504,29406
acting,123,0.0003126342357363807,29406
three,122,0.0003100924939824264,29406
screen,122,0.0003100924939824264,29406
voice,122,0.0003100924939824264,29406
cool,122,0.0003100924939824264,29406
yeah,122,0.0003100924939824264,29406
father,121,0.0003075507522284721,29406
jim,121,0.0003075507522284721,29406
second,121,0.0003075507522284721,29406
adaptation,120,0.00030500901047451776,29406
performance,120,0.00030500901047451776,29406
david,118,0.0002999255269666091,29406
mr,118,0.0002999255269666091,29406
gonna,118,0.0002999255269666091,29406
animal,118,0.0002999255269666091,29406
book,118,0.0002999255269666091,29406
myself,118,0.0002999255269666091,29406
liked,117,0.00029738378521265485,29406
sequel,117,0.00029738378521265485,29406
came,117,0.00029738378521265485,29406
experience,117,0.00029738378521265485,29406
ass,117,0.00029738378521265485,29406
contain,116,0.0002948420434587005,29406
sometimes,116,0.0002948420434587005,29406
worst,115,0.0002923003017047462,29406
production,115,0.0002923003017047462,29406
cat,114,0.0002897585599507919,29406
magic,114,0.0002897585599507919,29406
role,114,0.0002897585599507919,29406
trying,114,0.0002897585599507919,29406
works,114,0.0002897585599507919,29406
lost,113,0.00028721681819683756,29406
williams,113,0.00028721681819683756,29406
kinda,113,0.00028721681819683756,29406
played,112,0.00028467507644288324,29406
actors,112,0.00028467507644288324,29406
early,112,0.00028467507644288324,29406
fantasy,112,0.00028467507644288324,29406
tv,111,0.0002821333346889289,29406
spoilers,111,0.0002821333346889289,29406
sense,111,0.0002821333346889289,29406
series,111,0.0002821333346889289,29406
different,111,0.0002821333346889289,29406
idea,111,0.0002821333346889289,29406
course,111,0.0002821333346889289,29406
effects,110,0.0002795915929349746,29406
amazing,110,0.0002795915929349746,29406
american,110,0.0002795915929349746,29406
getting,110,0.0002795915929349746,29406
mind,110,0.0002795915929349746,29406
completely,110,0.0002795915929349746,29406
entertaining,110,0.0002795915929349746,29406
list,109,0.00027704985118102033,29406
until,109,0.00027704985118102033,29406
interesting,109,0.00027704985118102033,29406
guy,109,0.00027704985118102033,29406
stuff,109,0.00027704985118102033,29406
es,108,0.000274508109427066,29406
went,108,0.000274508109427066,29406
um,108,0.000274508109427066,29406
reason,108,0.000274508109427066,29406
true,107,0.0002719663676731117,29406
done,106,0.00026942462591915737,29406
4,106,0.00026942462591915737,29406
directed,105,0.00026688288416520304,29406
masterpiece,105,0.00026688288416520304,29406
next,105,0.00026688288416520304,29406
animals,104,0.0002643411424112487,29406
performances,104,0.0002643411424112487,29406
ist,104,0.0002643411424112487,29406
silly,104,0.0002643411424112487,29406
haven,104,0.0002643411424112487,29406
tale,104,0.0002643411424112487,29406
michael,103,0.0002617994006572944,29406
happy,102,0.0002592576589033401,29406
greatest,102,0.0002592576589033401,29406
start,101,0.0002567159171493858,29406
someone,101,0.0002567159171493858,29406
dark,101,0.0002567159171493858,29406
super,100,0.0002541741753954315,29406
james,100,0.0002541741753954315,29406
singing,100,0.0002541741753954315,29406
jokes,100,0.0002541741753954315,29406
talking,100,0.0002541741753954315,29406
moment,99,0.00025163243364147717,29406
goes,99,0.00025163243364147717,29406
miss,99,0.00025163243364147717,29406
days,99,0.00025163243364147717,29406
less,99,0.00025163243364147717,29406
remake,98,0.00024909069188752285,29406
age,98,0.00024909069188752285,29406
peter,98,0.00024909069188752285,29406
damn,97,0.00024654895013356853,29406
boring,97,0.00024654895013356853,29406
soundtrack,97,0.00024654895013356853,29406
adult,97,0.00024654895013356853,29406
score,97,0.00024654895013356853,29406
short,97,0.00024654895013356853,29406
enjoy,96,0.0002440072083796142,29406
looking,96,0.0002440072083796142,29406
joe,96,0.0002440072083796142,29406
fine,96,0.0002440072083796142,29406
burton,96,0.0002440072083796142,29406
terrible,96,0.0002440072083796142,29406
house,96,0.0002440072083796142,29406
christopher,96,0.0002440072083796142,29406
favourite,95,0.0002414654666256599,29406
however,95,0.0002414654666256599,29406
dad,95,0.0002414654666256599,29406
magical,95,0.0002414654666256599,29406
