types,counts,probs,total_unique
lot,280,0.0007604005138134901,32106
character,279,0.0007576847976927276,32106
these,278,0.0007549690815719651,32106
she,278,0.0007549690815719651,32106
review,276,0.0007495376493304402,32106
does,275,0.0007468219332096778,32106
watched,275,0.0007468219332096778,32106
y,273,0.0007413905009681528,32106
interesting,271,0.0007359590687266279,32106
may,270,0.0007332433526058654,32106
those,270,0.0007332433526058654,32106
though,268,0.0007278119203643405,32106
now,268,0.0007278119203643405,32106
characters,266,0.0007223804881228155,32106
then,265,0.0007196647720020531,32106
why,265,0.0007196647720020531,32106
true,262,0.0007115176236397656,32106
such,261,0.0007088019075190032,32106
our,261,0.0007088019075190032,32106
doesn,260,0.0007060861913982408,32106
both,259,0.0007033704752774783,32106
director,251,0.0006816447463113786,32106
cast,250,0.0006789290301906162,32106
new,249,0.0006762133140698536,32106
before,248,0.0006734975979490912,32106
bit,246,0.0006680661657075663,32106
during,242,0.0006572033012245164,32106
going,237,0.000643624720620704,32106
quite,237,0.000643624720620704,32106
battle,237,0.000643624720620704,32106
times,236,0.0006409090044999416,32106
actually,236,0.0006409090044999416,32106
makes,233,0.0006327618561376542,32106
look,232,0.0006300461400168917,32106
should,230,0.0006246147077753669,32106
work,230,0.0006246147077753669,32106
off,230,0.0006246147077753669,32106
half,228,0.0006191832755338419,32106
last,228,0.0006191832755338419,32106
bad,227,0.0006164675594130794,32106
another,226,0.000613751843292317,32106
d,225,0.0006110361271715545,32106
right,223,0.0006056046949300296,32106
feels,222,0.0006028889788092671,32106
es,222,0.0006028889788092671,32106
o,221,0.0006001732626885047,32106
part,221,0.0006001732626885047,32106
scene,219,0.0005947418304469797,32106
men,218,0.0005920261143262173,32106
got,218,0.0005920261143262173,32106
en,216,0.0005865946820846923,32106
acting,212,0.0005757318176016424,32106
based,211,0.00057301610148088,32106
go,209,0.0005675846692393551,32106
things,209,0.0005675846692393551,32106
thing,207,0.0005621532369978301,32106
e,206,0.0005594375208770677,32106
enough,206,0.0005594375208770677,32106
truth,205,0.0005567218047563053,32106
end,205,0.0005567218047563053,32106
am,205,0.0005567218047563053,32106
felt,205,0.0005567218047563053,32106
down,204,0.0005540060886355427,32106
oscar,198,0.000537711791910968,32106
almost,198,0.000537711791910968,32106
john,194,0.0005268489274279181,32106
back,193,0.0005241332113071557,32106
beautiful,192,0.0005214174951863931,32106
between,190,0.0005159860629448682,32106
american,190,0.0005159860629448682,32106
el,189,0.0005132703468241058,32106
us,189,0.0005132703468241058,32106
kind,188,0.0005105546307033434,32106
2,188,0.0005105546307033434,32106
hours,187,0.0005078389145825808,32106
especially,186,0.0005051231984618184,32106
minutes,184,0.0004996917662202935,32106
yet,184,0.0004996917662202935,32106
day,183,0.000496976050099531,32106
around,179,0.00048611318561648116,32106
everything,176,0.00047796603725419373,32106
set,176,0.00047796603725419373,32106
probably,175,0.0004752503211334313,32106
un,175,0.0004752503211334313,32106
sure,175,0.0004752503211334313,32106
own,175,0.0004752503211334313,32106
hard,174,0.0004725346050126688,32106
thought,174,0.0004725346050126688,32106
nothing,172,0.00046710317277114387,32106
moments,170,0.00046167174052961894,32106
old,170,0.00046167174052961894,32106
period,169,0.0004589560244088565,32106
anything,169,0.0004589560244088565,32106
isn,168,0.000456240308288094,32106
picture,168,0.000456240308288094,32106
god,167,0.00045352459216733157,32106
5,167,0.00045352459216733157,32106
cinema,166,0.0004508088760465691,32106
production,166,0.0004508088760465691,32106
second,164,0.00044537744380504415,32106
big,164,0.00044537744380504415,32106
handle,164,0.00044537744380504415,32106
same,162,0.0004399460115635192,32106
three,162,0.0004399460115635192,32106
find,161,0.0004372302954427568,32106
without,160,0.0004345145793219943,32106
3,160,0.0004345145793219943,32106
biopic,159,0.00043179886320123185,32106
whole,159,0.00043179886320123185,32106
cinematography,159,0.00043179886320123185,32106
hollywood,158,0.0004290831470804694,32106
german,157,0.0004263674309597069,32106
spoilers,156,0.0004236517148389445,32106
action,155,0.000420935998718182,32106
making,154,0.00041822028259741955,32106
contain,154,0.00041822028259741955,32106
um,152,0.0004127888503558946,32106
actors,152,0.0004127888503558946,32106
point,152,0.0004127888503558946,32106
ist,151,0.0004100731342351321,32106
year,150,0.0004073574181143697,32106
said,150,0.0004073574181143697,32106
least,149,0.0004046417019936072,32106
ll,149,0.0004046417019936072,32106
black,149,0.0004046417019936072,32106
few,149,0.0004046417019936072,32106
full,148,0.00040192598587284476,32106
actor,148,0.00040192598587284476,32106
family,147,0.00039921026975208227,32106
again,147,0.00039921026975208227,32106
since,146,0.00039649455363131983,32106
powerful,146,0.00039649455363131983,32106
score,146,0.00039649455363131983,32106
want,145,0.00039377883751055733,32106
absolutely,145,0.00039377883751055733,32106
hour,145,0.00039377883751055733,32106
white,144,0.0003910631213897949,32106
solid,144,0.0003910631213897949,32106
far,142,0.00038563168914826997,32106
however,141,0.0003829159730275075,32106
take,141,0.0003829159730275075,32106
directed,140,0.00038020025690674504,32106
truly,140,0.00038020025690674504,32106
wasn,139,0.00037748454078598254,32106
den,139,0.00037748454078598254,32106
instead,139,0.00037748454078598254,32106
everyone,138,0.0003747688246652201,32106
away,137,0.0003720531085444576,32106
events,136,0.0003693373924236952,32106
fact,136,0.0003693373924236952,32106
piece,136,0.0003693373924236952,32106
gets,135,0.0003666216763029327,32106
das,135,0.0003666216763029327,32106
young,134,0.00036390596018217024,32106
boring,134,0.00036390596018217024,32106
documentary,133,0.00036119024406140775,32106
scorsese,132,0.0003584745279406453,32106
christian,132,0.0003584745279406453,32106
different,132,0.0003584745279406453,32106
trying,131,0.0003557588118198828,32106
might,130,0.0003530430956991204,32106
shot,130,0.0003530430956991204,32106
definitely,130,0.0003530430956991204,32106
1,129,0.0003503273795783579,32106
important,128,0.00034761166345759545,32106
entire,128,0.00034761166345759545,32106
stars,128,0.00034761166345759545,32106
found,127,0.00034489594733683296,32106
role,127,0.00034489594733683296,32106
strong,126,0.0003421802312160705,32106
von,126,0.0003421802312160705,32106
screen,126,0.0003421802312160705,32106
rather,123,0.00033403308285378315,32106
version,123,0.00033403308285378315,32106
script,122,0.00033131736673302066,32106
emotional,122,0.00033131736673302066,32106
women,122,0.00033131736673302066,32106
come,122,0.00033131736673302066,32106
place,121,0.0003286016506122582,32106
takes,121,0.0003286016506122582,32106
music,121,0.0003286016506122582,32106
against,121,0.0003286016506122582,32106
amazing,120,0.00032588593449149573,32106
favorite,120,0.00032588593449149573,32106
sense,120,0.00032588593449149573,32106
narrative,120,0.00032588593449149573,32106
each,119,0.0003231702183707333,32106
please,119,0.0003231702183707333,32106
fucking,118,0.0003204545022499708,32106
show,117,0.00031773878612920836,32106
done,117,0.00031773878612920836,32106
subject,116,0.00031502307000844587,32106
nazi,116,0.00031502307000844587,32106
una,116,0.00031502307000844587,32106
ein,116,0.00031502307000844587,32106
se,116,0.00031502307000844587,32106
tell,115,0.00031230735388768343,32106
play,114,0.00030959163776692094,32106
political,114,0.00030959163776692094,32106
maybe,114,0.00030959163776692094,32106
guy,113,0.0003068759216461585,32106
direction,113,0.0003068759216461585,32106
less,113,0.0003068759216461585,32106
final,112,0.000304160205525396,32106
despite,112,0.000304160205525396,32106
remember,111,0.00030144448940463357,32106
loved,111,0.00030144448940463357,32106
heart,111,0.00030144448940463357,32106
need,111,0.00030144448940463357,32106
saw,110,0.0002987287732838711,32106
someone,110,0.0002987287732838711,32106
greatest,110,0.0002987287732838711,32106
human,110,0.0002987287732838711,32106
soldiers,110,0.0002987287732838711,32106
seems,110,0.0002987287732838711,32106
told,110,0.0002987287732838711,32106
give,109,0.00029601305716310864,32106
stone,109,0.00029601305716310864,32106
david,109,0.00029601305716310864,32106
zu,109,0.00029601305716310864,32106
ich,108,0.00029329734104234615,32106
spielberg,108,0.00029329734104234615,32106
star,107,0.0002905816249215837,32106
under,107,0.0002905816249215837,32106
incredible,107,0.0002905816249215837,32106
often,107,0.0002905816249215837,32106
let,106,0.0002878659088008212,32106
da,106,0.0002878659088008212,32106
excellent,106,0.0002878659088008212,32106
once,106,0.0002878659088008212,32106
é,105,0.0002851501926800588,32106
wanted,105,0.0002851501926800588,32106
filme,105,0.0002851501926800588,32106
put,105,0.0002851501926800588,32106
looks,104,0.0002824344765592963,32106
together,104,0.0002824344765592963,32106
ending,104,0.0002824344765592963,32106
must,104,0.0002824344765592963,32106
experience,103,0.00027971876043853385,32106
liked,103,0.00027971876043853385,32106
course,102,0.00027700304431777135,32106
believe,102,0.00027700304431777135,32106
denzel,102,0.00027700304431777135,32106
10,101,0.0002742873281970089,32106
richard,101,0.0002742873281970089,32106
ben,101,0.0002742873281970089,32106
nicht,101,0.0002742873281970089,32106
start,101,0.0002742873281970089,32106
tale,100,0.0002715716120762464,32106
slow,100,0.0002715716120762464,32106
having,99,0.000268855895955484,32106
los,99,0.000268855895955484,32106
matter,99,0.000268855895955484,32106
fun,99,0.000268855895955484,32106
understand,99,0.000268855895955484,32106
today,99,0.000268855895955484,32106
itself,98,0.0002661401798347215,32106
mostly,98,0.0002661401798347215,32106
plot,97,0.00026342446371395905,32106
nice,97,0.00026342446371395905,32106
genre,97,0.00026342446371395905,32106
plays,97,0.00026342446371395905,32106
lead,96,0.00026070874759319656,32106
perfect,96,0.00026070874759319656,32106
comes,96,0.00026070874759319656,32106
style,95,0.0002579930314724341,32106
por,95,0.0002579930314724341,32106
main,95,0.0002579930314724341,32106
took,95,0.0002579930314724341,32106
completely,94,0.0002552773153516717,32106
behind,94,0.0002552773153516717,32106
home,94,0.0002552773153516717,32106
