types,counts,probs,total_unique
go,116,0.0007563162184189079,16453
through,114,0.0007432762836185819,16453
enough,113,0.0007367563162184189,16453
something,112,0.000730236348818256,16453
two,112,0.000730236348818256,16453
long,110,0.0007171964140179299,16453
makes,108,0.0007041564792176039,16453
d,108,0.0007041564792176039,16453
die,107,0.0006976365118174409,16453
shark,107,0.0006976365118174409,16453
feel,106,0.0006911165444172779,16453
always,105,0.000684596577017115,16453
before,104,0.0006780766096169519,16453
review,104,0.0006780766096169519,16453
doesn,104,0.0006780766096169519,16453
such,103,0.0006715566422167889,16453
am,103,0.0006715566422167889,16453
going,102,0.0006650366748166259,16453
life,101,0.0006585167074164629,16453
day,101,0.0006585167074164629,16453
characters,100,0.0006519967400162999,16453
action,100,0.0006519967400162999,16453
part,99,0.000645476772616137,16453
new,98,0.000638956805215974,16453
show,98,0.000638956805215974,16453
kind,98,0.000638956805215974,16453
want,98,0.000638956805215974,16453
holmes,97,0.0006324368378158109,16453
man,97,0.0006324368378158109,16453
adaptation,96,0.0006259168704156479,16453
e,96,0.0006259168704156479,16453
around,95,0.0006193969030154849,16453
hallmark,95,0.0006193969030154849,16453
performances,95,0.0006193969030154849,16453
und,94,0.0006128769356153219,16453
o,93,0.0006063569682151589,16453
right,93,0.0006063569682151589,16453
back,93,0.0006063569682151589,16453
those,93,0.0006063569682151589,16453
acting,92,0.000599837000814996,16453
girl,91,0.000593317033414833,16453
should,91,0.000593317033414833,16453
nothing,90,0.00058679706601467,16453
old,90,0.00058679706601467,16453
sure,90,0.00058679706601467,16453
year,89,0.0005802770986145069,16453
both,89,0.0005802770986145069,16453
look,89,0.0005802770986145069,16453
character,89,0.0005802770986145069,16453
series,88,0.0005737571312143439,16453
scene,88,0.0005737571312143439,16453
lamp,88,0.0005737571312143439,16453
disney,88,0.0005737571312143439,16453
end,86,0.0005607171964140179,16453
drama,85,0.000554197229013855,16453
star,85,0.000554197229013855,16453
war,85,0.000554197229013855,16453
television,84,0.000547677261613692,16453
ronald,84,0.000547677261613692,16453
moore,84,0.000547677261613692,16453
plot,84,0.000547677261613692,16453
few,83,0.000541157294213529,16453
thought,83,0.000541157294213529,16453
down,82,0.0005346373268133659,16453
der,81,0.0005281173594132029,16453
shit,81,0.0005281173594132029,16453
same,81,0.0005281173594132029,16453
world,81,0.0005281173594132029,16453
everyone,81,0.0005281173594132029,16453
van,80,0.0005215973920130399,16453
scenes,79,0.0005150774246128769,16453
probably,79,0.0005150774246128769,16453
whole,79,0.0005150774246128769,16453
last,79,0.0005150774246128769,16453
wasn,77,0.000502037489812551,16453
guy,77,0.000502037489812551,16453
musical,77,0.000502037489812551,16453
almost,77,0.000502037489812551,16453
3,77,0.000502037489812551,16453
interesting,77,0.000502037489812551,16453
far,77,0.000502037489812551,16453
production,76,0.000495517522412388,16453
gets,76,0.000495517522412388,16453
goes,76,0.000495517522412388,16453
evil,76,0.000495517522412388,16453
version,76,0.000495517522412388,16453
definitely,76,0.000495517522412388,16453
things,76,0.000495517522412388,16453
special,75,0.0004889975550122249,16453
wrong,75,0.0004889975550122249,16453
full,75,0.0004889975550122249,16453
high,75,0.0004889975550122249,16453
quite,75,0.0004889975550122249,16453
truth,75,0.0004889975550122249,16453
everything,75,0.0004889975550122249,16453
big,74,0.00048247758761206196,16453
spielberg,74,0.00048247758761206196,16453
spoilers,74,0.00048247758761206196,16453
john,73,0.0004759576202118989,16453
minutes,73,0.0004759576202118989,16453
handle,73,0.0004759576202118989,16453
performance,73,0.0004759576202118989,16453
put,72,0.00046943765281173594,16453
lifetime,72,0.00046943765281173594,16453
2,72,0.00046943765281173594,16453
played,72,0.00046943765281173594,16453
perfect,72,0.00046943765281173594,16453
isn,72,0.00046943765281173594,16453
filme,71,0.00046291768541157296,16453
might,71,0.00046291768541157296,16453
original,70,0.0004563977180114099,16453
feels,70,0.0004563977180114099,16453
favorite,70,0.0004563977180114099,16453
fucking,70,0.0004563977180114099,16453
school,69,0.00044987775061124693,16453
contain,69,0.00044987775061124693,16453
another,69,0.00044987775061124693,16453
book,69,0.00044987775061124693,16453
decent,69,0.00044987775061124693,16453
times,68,0.00044335778321108395,16453
5,68,0.00044335778321108395,16453
take,68,0.00044335778321108395,16453
channel,67,0.00043683781581092097,16453
thriller,67,0.00043683781581092097,16453
haunted,67,0.00043683781581092097,16453
gay,67,0.00043683781581092097,16453
top,67,0.00043683781581092097,16453
having,66,0.00043031784841075793,16453
felt,66,0.00043031784841075793,16453
1,66,0.00043031784841075793,16453
since,66,0.00043031784841075793,16453
novel,66,0.00043031784841075793,16453
especially,66,0.00043031784841075793,16453
hard,65,0.00042379788101059494,16453
us,65,0.00042379788101059494,16453
remember,65,0.00042379788101059494,16453
again,65,0.00042379788101059494,16453
family,64,0.00041727791361043196,16453
budget,64,0.00041727791361043196,16453
absolutely,64,0.00041727791361043196,16453
yet,64,0.00041727791361043196,16453
half,64,0.00041727791361043196,16453
ll,63,0.000410757946210269,16453
90s,63,0.000410757946210269,16453
lizzie,63,0.000410757946210269,16453
é,63,0.000410757946210269,16453
play,63,0.000410757946210269,16453
funny,62,0.00040423797881010594,16453
least,62,0.00040423797881010594,16453
oh,62,0.00040423797881010594,16453
early,62,0.00040423797881010594,16453
without,62,0.00040423797881010594,16453
elizabeth,62,0.00040423797881010594,16453
kinda,62,0.00040423797881010594,16453
said,61,0.00039771801140994295,16453
give,61,0.00039771801140994295,16453
um,61,0.00039771801140994295,16453
amityville,61,0.00039771801140994295,16453
mother,61,0.00039771801140994295,16453
let,60,0.00039119804400977997,16453
looking,60,0.00039119804400977997,16453
kid,60,0.00039119804400977997,16453
stars,60,0.00039119804400977997,16453
nice,59,0.00038467807660961693,16453
role,59,0.00038467807660961693,16453
liked,59,0.00038467807660961693,16453
y,59,0.00038467807660961693,16453
young,59,0.00038467807660961693,16453
entertaining,59,0.00038467807660961693,16453
