types,counts,probs,total_unique
got,1590,0.0007627256456664471,88017
go,1574,0.0007550504190433886,88017
doesn,1566,0.0007512128057318593,88017
bit,1564,0.0007502534024039769,88017
d,1561,0.0007488142974121534,88017
many,1554,0.0007454563857645653,88017
why,1551,0.0007440172807727418,88017
review,1537,0.0007373014574775656,88017
always,1514,0.0007262683192069188,88017
say,1507,0.0007229104075593307,88017
thing,1502,0.0007205118992396249,88017
world,1496,0.0007176336892559779,88017
director,1482,0.0007109178659608017,88017
before,1468,0.0007042020426656254,88017
years,1454,0.0006974862193704491,88017
actually,1451,0.0006960471143786257,88017
makes,1449,0.0006950877110507433,88017
que,1448,0.0006946080093868022,88017
those,1403,0.0006730214345094499,88017
new,1392,0.0006677447162060971,88017
scene,1392,0.0006677447162060971,88017
watched,1384,0.0006639071028945678,88017
end,1381,0.0006624679979027443,88017
interesting,1369,0.0006567115779354504,88017
quite,1359,0.0006519145612960388,88017
down,1351,0.0006480769479845095,88017
such,1347,0.0006461581413287448,88017
kind,1339,0.0006423205280172155,88017
these,1339,0.0006423205280172155,88017
long,1338,0.0006418408263532744,88017
around,1336,0.000640881423025392,88017
feel,1335,0.0006404017213614509,88017
enough,1334,0.0006399220196975097,88017
work,1332,0.0006389626163696274,88017
life,1316,0.0006312873897465688,88017
noir,1316,0.0006312873897465688,88017
another,1314,0.0006303279864186865,88017
right,1313,0.0006298482847547453,88017
last,1296,0.0006216933564677456,88017
john,1289,0.0006183354448201574,88017
real,1284,0.0006159369365004516,88017
things,1271,0.0006097008148692165,88017
day,1256,0.0006025052899100991,88017
scenes,1240,0.0005948300632870405,88017
part,1208,0.0005794796100409233,88017
big,1203,0.0005770811017212175,88017
set,1188,0.0005698855767621001,88017
isn,1184,0.0005679667701063355,88017
old,1175,0.000563649455130865,88017
thought,1174,0.0005631697534669238,88017
feels,1173,0.0005626900518029827,88017
same,1165,0.0005588524384914534,88017
nothing,1164,0.0005583727368275122,88017
truth,1163,0.0005578930351635711,88017
gets,1159,0.0005559742285078064,88017
hard,1151,0.0005521366151962771,88017
few,1149,0.0005511772118683948,88017
both,1145,0.0005492584052126301,88017
should,1131,0.0005425425819174539,88017
performances,1130,0.0005420628802535127,88017
take,1127,0.0005406237752616892,88017
performance,1116,0.0005353470569583365,88017
minutes,1115,0.0005348673552943953,88017
times,1108,0.0005315094436468072,88017
between,1086,0.0005209560070401016,88017
genre,1086,0.0005209560070401016,88017
almost,1080,0.0005180777970564546,88017
sure,1075,0.0005156792887367488,88017
2,1057,0.0005070446587858079,88017
look,1048,0.0005027273438103375,88017
guy,1046,0.0005017679404824551,88017
year,1040,0.0004988897304988082,88017
spoilers,1029,0.0004936130121954554,88017
half,1028,0.0004931333105315142,88017
la,1028,0.0004931333105315142,88017
whole,1027,0.0004926536088675731,88017
everything,1024,0.0004912145038757496,88017
war,1011,0.0004849783822445145,88017
own,1009,0.0004840189789166322,88017
handle,1003,0.0004811407689329852,88017
probably,1003,0.0004811407689329852,88017
us,998,0.0004787422606132794,88017
star,993,0.0004763437522935736,88017
killer,992,0.00047586405062963243,88017
acting,990,0.0004749046473017501,88017
contain,987,0.00047346554230992663,88017
solid,983,0.000471546735654162,88017
anything,972,0.0004662700173508092,88017
shit,970,0.0004653106140229269,88017
want,967,0.0004638715090311034,88017
yet,965,0.000462912105703221,88017
again,965,0.000462912105703221,88017
o,959,0.0004600338957195741,88017
ll,958,0.00045955419405563293,88017
ist,957,0.0004590744923916918,88017
cool,954,0.0004576353873998683,88017
far,914,0.0004384473208422218,88017
definitely,912,0.0004374879175143395,88017
entertaining,911,0.00043700821585039833,88017
original,903,0.00043317060253886903,88017
least,900,0.00043173149754704553,88017
crime,900,0.00043173149754704553,88017
top,898,0.00043077209421916323,88017
found,894,0.0004288532875633986,88017
fucking,894,0.0004288532875633986,88017
wasn,891,0.0004274141825715751,88017
full,891,0.0004274141825715751,88017
point,887,0.00042549537591581043,88017
james,880,0.0004221374642682223,88017
second,863,0.00041398253598122253,88017
es,860,0.0004125434309893991,88017
maybe,860,0.0004125434309893991,88017
especially,853,0.00040918551934181094,88017
am,851,0.00040822611601392864,88017
having,848,0.00040678701102210514,88017
might,845,0.00040534790603028164,88017
das,831,0.0003986320827351054,88017
give,830,0.00039815238107116424,88017
find,827,0.00039671327607934074,88017
since,822,0.00039431476775963494,88017
ein,822,0.00039431476775963494,88017
night,822,0.00039431476775963494,88017
shot,820,0.0003933553644317526,88017
our,818,0.0003923959611038703,88017
without,816,0.00039143655777598794,88017
takes,812,0.0003895177511202233,88017
style,811,0.00038903804945628214,88017
e,809,0.00038807864612839984,88017
directed,808,0.00038759894446445864,88017
ending,798,0.00038280192782504704,88017
come,791,0.0003794440161774589,88017
sense,787,0.0003775252095216943,88017
felt,786,0.0003770455078577531,88017
5,785,0.00037656580619381194,88017
everyone,784,0.0003760861045298708,88017
bond,781,0.0003746469995380473,88017
once,776,0.0003722484912183415,88017
moments,776,0.0003722484912183415,88017
absolutely,773,0.000370809386226518,88017
fuck,772,0.00037032968456257684,88017
seems,768,0.0003684108779068122,88017
making,767,0.00036793117624287104,88017
let,758,0.0003636138612674006,88017
cinema,754,0.00036169505461163595,88017
y,753,0.0003612153529476948,88017
death,751,0.00036025594961981244,88017
dark,750,0.0003597762479558713,88017
hitchcock,742,0.000355938634644342,88017
3,740,0.00035497923131645964,88017
house,739,0.0003544995296525185,88017
different,739,0.0003544995296525185,88017
murder,732,0.0003511416180049304,88017
drama,731,0.0003506619163409892,88017
zu,731,0.0003506619163409892,88017
goes,730,0.00035018221467704805,88017
saw,725,0.00034778370635734225,88017
put,721,0.0003458648997015776,88017
trying,721,0.0003458648997015776,88017
american,721,0.0003458648997015776,88017
away,717,0.00034394609304581295,88017
need,716,0.0003434663913818718,88017
classic,711,0.000341067883062166,88017
plays,709,0.00034010847973428365,88017
early,709,0.00034010847973428365,88017
said,708,0.0003396287780703425,88017
script,705,0.000338189673078519,88017
act,703,0.0003372302697506367,88017
loved,702,0.0003367505680866955,88017
place,701,0.00033627086642275435,88017
someone,699,0.00033531146309487205,88017
mean,699,0.00033531146309487205,88017
perfect,694,0.00033291295477516625,88017
screen,693,0.00033243325311122505,88017
favorite,692,0.0003319535514472839,88017
less,691,0.00033147384978334275,88017
together,688,0.00033003474479151925,88017
decent,684,0.0003281159381357546,88017
mystery,683,0.00032763623647181345,88017
boring,682,0.0003271565348078723,88017
based,681,0.00032667683314393115,88017
looks,680,0.00032619713147998995,88017
mit,678,0.00032523772815210765,88017
rather,675,0.00032379862316028415,88017
show,675,0.00032379862316028415,88017
stars,673,0.00032283921983240185,88017
den,672,0.00032235951816846065,88017
doing,672,0.00032235951816846065,88017
actors,668,0.000320440711512696,88017
role,668,0.000320440711512696,88017
young,668,0.000320440711512696,88017
family,666,0.0003194813081848137,88017
liked,666,0.0003194813081848137,88017
fact,665,0.00031900160652087255,88017
um,660,0.00031660309820116675,88017
done,656,0.0003146842915454021,88017
instead,656,0.0003146842915454021,88017
worst,655,0.0003142045898814609,88017
hell,655,0.0003142045898814609,88017
however,655,0.0003142045898814609,88017
michael,654,0.00031372488821751975,88017
true,654,0.00031372488821751975,88017
during,651,0.00031228578322569625,88017
idea,651,0.00031228578322569625,88017
until,651,0.00031228578322569625,88017
final,650,0.0003118060815617551,88017
1,648,0.0003108466782338728,88017
high,643,0.000308448169914167,88017
looking,643,0.000308448169914167,88017
start,643,0.000308448169914167,88017
nice,642,0.0003079684682502258,88017
three,642,0.0003079684682502258,88017
10,640,0.0003070090649223435,88017
men,640,0.0003070090649223435,88017
slow,639,0.00030652936325840235,88017
ich,638,0.00030604966159446115,88017
dialogue,633,0.00030365115327475535,88017
each,633,0.00030365115327475535,88017
seeing,632,0.0003031714516108142,88017
white,632,0.0003031714516108142,88017
completely,628,0.00030125264495504955,88017
budget,626,0.00030029324162716726,88017
enjoyed,623,0.00029885413663534375,88017
stuff,620,0.00029741503164352025,88017
version,618,0.00029645562831563796,88017
cop,616,0.0002954962249877556,88017
getting,615,0.00029501652332381445,88017
tv,611,0.0002930977166680498,88017
came,609,0.0002921383133401675,88017
robert,609,0.0002921383133401675,88017
dead,608,0.0002916586116762263,88017
oh,606,0.000290699208348344,88017
score,606,0.000290699208348344,88017
remember,604,0.00028973980502046165,88017
comes,603,0.0002892601033565205,88017
itself,602,0.00028878040169257936,88017
en,601,0.0002883007000286382,88017
works,597,0.00028638189337287356,88017
lead,596,0.00028590219170893235,88017
comedy,595,0.0002854224900449912,88017
flick,591,0.00028350368338922655,88017
name,587,0.0002815848767334619,88017
mind,586,0.00028110517506952076,88017
un,586,0.00028110517506952076,88017
mostly,585,0.0002806254734055796,88017
series,583,0.00027966607007769725,88017
von,582,0.0002791863684137561,88017
nicht,582,0.0002791863684137561,88017
main,580,0.0002782269650858738,88017
violence,580,0.0002782269650858738,88017
next,578,0.00027726756175799146,88017
girl,578,0.00027726756175799146,88017
reason,578,0.00027726756175799146,88017
despite,576,0.00027630815843010916,88017
truly,576,0.00027630815843010916,88017
weird,575,0.000275828456766168,88017
wrong,573,0.00027486905343828566,88017
believe,573,0.00027486905343828566,88017
funny,571,0.00027390965011040336,88017
face,569,0.000272950246782521,88017
job,569,0.000272950246782521,88017
woman,567,0.0002719908434546387,88017
amazing,567,0.0002719908434546387,88017
wanted,566,0.0002715111417906975,88017
play,564,0.0002705517384628152,88017
else,564,0.0002705517384628152,88017
90s,563,0.00027007203679887406,88017
playing,562,0.00026959233513493286,88017
kill,561,0.0002691126334709917,88017
premise,560,0.00026863293180705056,88017
effects,557,0.00026719382681522706,88017
black,554,0.0002657547218234036,88017
worth,551,0.0002643156168315801,88017
opening,548,0.0002628765118397566,88017
must,543,0.0002604780035200508,88017
turns,542,0.00025999830185610966,88017
hollywood,541,0.0002595186001921685,88017
god,540,0.0002590388985282273,88017
couple,538,0.000258079495200345,88017
lee,533,0.0002556809868806392,88017
keep,532,0.000255201285216698,88017
run,531,0.00025472158355275686,88017
home,530,0.0002542418818888157,88017
course,528,0.00025328247856093336,88017
tension,523,0.00025088397024122756,88017
car,520,0.0002494448652494041,88017
tell,517,0.0002480057602575806,88017
game,517,0.0002480057602575806,88017
low,515,0.00024704635692969826,88017
wish,514,0.0002465666552657571,88017
went,510,0.00024464784860999246,88017
damn,509,0.0002441681469460513,88017
kinda,509,0.0002441681469460513,88017
title,507,0.000243208743618169,88017
era,507,0.000243208743618169,88017
overall,507,0.000243208743618169,88017
piece,505,0.00024224934029028666,88017
later,503,0.00024128993696240434,88017
entire,502,0.0002408102352984632,88017
auch,501,0.000240330533634522,88017
im,500,0.00023985083197058086,88017
fan,498,0.00023889142864269854,88017
beautiful,496,0.00023793202531481621,88017
left,496,0.00023793202531481621,88017
aber,496,0.00023793202531481621,88017
played,496,0.00023793202531481621,88017
late,495,0.00023745232365087504,88017
although,494,0.0002369726219869339,88017
either,492,0.00023601321865905156,88017
head,491,0.0002355335169951104,88017
paul,490,0.00023505381533116924,88017
strong,489,0.0002345741136672281,88017
terrible,488,0.00023409441200328691,88017
along,487,0.00023361471033934576,88017
stupid,485,0.00023265530701146344,88017
narrative,485,0.00023265530701146344,88017
direction,484,0.00023217560534752226,88017
fi,484,0.00023217560534752226,88017
eine,483,0.00023169590368358111,88017
yes,483,0.00023169590368358111,88017
special,481,0.0002307365003556988,88017
throughout,481,0.0002307365003556988,88017
use,479,0.00022977709702781646,88017
already,477,0.00022881769369993414,88017
el,477,0.00022881769369993414,88017
women,477,0.00022881769369993414,88017
guess,476,0.00022833799203599296,88017
cinematography,475,0.00022785829037205181,88017
auf,475,0.00022785829037205181,88017
sequel,474,0.00022737858870811064,88017
sort,473,0.0002268988870441695,88017
honestly,472,0.00022641918538022834,88017
ass,472,0.00022641918538022834,88017
sci,472,0.00022641918538022834,88017
atmosphere,471,0.00022593948371628716,88017
super,470,0.00022545978205234602,88017
crazy,467,0.00022402067706052252,88017
used,467,0.00022402067706052252,88017
suspense,466,0.00022354097539658137,88017
live,466,0.00022354097539658137,88017
da,466,0.00022354097539658137,88017
himself,464,0.00022258157206869904,88017
camera,464,0.00022258157206869904,88017
fantastic,464,0.00022258157206869904,88017
level,464,0.00022258157206869904,88017
finally,463,0.00022210187040475787,88017
days,462,0.00022162216874081672,88017
excellent,461,0.00022114246707687554,88017
against,461,0.00022114246707687554,88017
video,459,0.00022018306374899322,88017
starts,459,0.00022018306374899322,88017
hour,458,0.00021970336208505207,88017
sich,457,0.0002192236604211109,88017
90,455,0.0002182642570932286,88017
under,453,0.00021730485376534627,88017
music,453,0.00021730485376534627,88017
4,451,0.00021634545043746394,88017
moment,451,0.00021634545043746394,88017
exactly,451,0.00021634545043746394,88017
als,450,0.00021586574877352277,88017
certainly,448,0.00021490634544564044,88017
book,447,0.0002144266437816993,88017
twist,447,0.0002144266437816993,88017
dem,446,0.00021394694211775812,88017
couldn,445,0.00021346724045381697,88017
list,445,0.00021346724045381697,88017
actor,445,0.00021346724045381697,88017
fight,444,0.0002129875387898758,88017
fine,444,0.0002129875387898758,88017
help,443,0.00021250783712593464,88017
se,443,0.00021250783712593464,88017
enjoy,442,0.00021202813546199347,88017
revenge,440,0.00021106873213411114,88017
b,440,0.00021106873213411114,88017
often,438,0.00021010932880622884,88017
city,437,0.00020962962714228767,88017
cold,436,0.00020914992547834652,88017
human,432,0.00020723111882258187,88017
myself,432,0.00020723111882258187,88017
single,431,0.0002067514171586407,88017
david,431,0.0002067514171586407,88017
com,431,0.0002067514171586407,88017
gives,430,0.00020627171549469954,88017
enjoyable,429,0.00020579201383075837,88017
blood,428,0.00020531231216681722,88017
sex,427,0.00020483261050287604,88017
kids,426,0.0002043529088389349,88017
today,426,0.0002043529088389349,88017
creepy,425,0.00020387320717499372,88017
cut,424,0.00020339350551105257,88017
sometimes,424,0.00020339350551105257,88017
wife,424,0.00020339350551105257,88017
given,424,0.00020339350551105257,88017
stop,423,0.0002029138038471114,88017
evil,422,0.00020243410218317024,88017
