types,counts,probs,total_unique
re,152,0.0007709005335443166,20336
didn,151,0.0007658288195078409,20336
enough,150,0.0007607571054713651,20336
performances,150,0.0007607571054713651,20336
every,150,0.0007607571054713651,20336
both,149,0.0007556853914348894,20336
got,149,0.0007556853914348894,20336
though,149,0.0007556853914348894,20336
go,148,0.0007506136773984135,20336
train,147,0.0007455419633619378,20336
back,147,0.0007455419633619378,20336
she,146,0.000740470249325462,20336
better,145,0.0007353985352889863,20336
many,144,0.0007303268212525105,20336
new,144,0.0007303268212525105,20336
between,143,0.0007252551072160347,20336
review,143,0.0007252551072160347,20336
may,143,0.0007252551072160347,20336
makes,143,0.0007252551072160347,20336
action,141,0.0007151116791430832,20336
watching,139,0.0007049682510701316,20336
watched,139,0.0007049682510701316,20336
murphy,138,0.0006998965370336559,20336
last,135,0.0006846813949242285,20336
thing,134,0.0006796096808877528,20336
far,133,0.0006745379668512771,20336
going,133,0.0006745379668512771,20336
west,131,0.0006643945387783256,20336
say,131,0.0006643945387783256,20336
bit,130,0.0006593228247418497,20336
now,130,0.0006593228247418497,20336
director,129,0.000654251110705374,20336
work,129,0.000654251110705374,20336
american,127,0.0006441076826324225,20336
10,127,0.0006441076826324225,20336
men,127,0.0006441076826324225,20336
part,126,0.0006390359685959466,20336
christian,124,0.0006288925405229951,20336
those,124,0.0006288925405229951,20336
any,124,0.0006288925405229951,20336
la,124,0.0006288925405229951,20336
another,124,0.0006288925405229951,20336
these,122,0.0006187491124500437,20336
feel,122,0.0006187491124500437,20336
set,121,0.0006136773984135678,20336
few,120,0.0006086056843770921,20336
down,119,0.0006035339703406163,20336
comedy,119,0.0006035339703406163,20336
performance,119,0.0006035339703406163,20336
years,116,0.000588318828231189,20336
shot,116,0.000588318828231189,20336
around,116,0.000588318828231189,20336
d,115,0.0005832471141947132,20336
o,115,0.0005832471141947132,20336
el,115,0.0005832471141947132,20336
times,114,0.0005781754001582375,20336
interesting,114,0.0005781754001582375,20336
same,113,0.0005731036861217617,20336
probably,112,0.000568031972085286,20336
scene,112,0.000568031972085286,20336
nothing,112,0.000568031972085286,20336
costner,111,0.0005629602580488102,20336
audie,111,0.0005629602580488102,20336
2,111,0.0005629602580488102,20336
family,110,0.0005578885440123344,20336
why,110,0.0005578885440123344,20336
take,110,0.0005578885440123344,20336
guy,109,0.0005528168299758587,20336
such,109,0.0005528168299758587,20336
directed,109,0.0005528168299758587,20336
hard,108,0.0005477451159393829,20336
real,108,0.0005477451159393829,20336
right,107,0.0005426734019029071,20336
sure,107,0.0005426734019029071,20336
end,105,0.0005325299738299556,20336
kind,104,0.0005274582597934798,20336
crowe,104,0.0005274582597934798,20336
takes,104,0.0005274582597934798,20336
feels,104,0.0005274582597934798,20336
robert,103,0.000522386545757004,20336
having,103,0.000522386545757004,20336
minutes,103,0.000522386545757004,20336
bronson,102,0.0005173148317205282,20336
before,101,0.0005122431176840525,20336
almost,101,0.0005122431176840525,20336
actually,101,0.0005122431176840525,20336
things,101,0.0005122431176840525,20336
world,100,0.0005071714036475768,20336
plot,98,0.0004970279755746252,20336
half,98,0.0004970279755746252,20336
solid,97,0.0004919562615381494,20336
