,Topic,Count,Name,Representation,Representative_Docs
0,-1,2618,-1_like_movie_just_life,"['like', 'movie', 'just', 'life', 'time', 'film', 'love', 'watch', 'good', 'im']","[""I feel like I lived an entire life in just two hours. What a raw, violent, and impactful story. I still can't believe this actually happened in real life, which makes the movie even more unforgettable.The gritty visuals and the vibrant color palette used to represent time jumps were captivating to me. It's a very good movie, and I'm grateful for the somewhat happy ending."", ""Some of the most incredible camera work I've ever seen.I mean, how are some of these shots even physically possible? Those oppening scenes? That funeral scene? Truly mindblowing.It can drag at times and I think it should have ended right after the famous funeral scene (not that what came after it was bad or anything, it just really seemed like the perfect place for it to end since this movie is pretty long), but this is a must-watch, especially if you're a fan of excellent camera work. It's seriously impressive."", ""WATCHED IT FROM A LONG TIME AGO AND I STILL CAN'T GET OVER IT AND I DONT MIND IF I SHOULD WATCH IT OVER OVER OVER AND OVER AGAIN""]"
1,0,175,0_que_um_uma_filme,"['que', 'um', 'uma', 'filme', 'se', 'como', 'la', 'una', 'em', 'por']","['Esse filme retrata uma realidade muito conturbada do da Polônia embora o filme seja sobre um pianista até esqueço que a história é sobre um pianista o filme foca mais na história da guerra do que na carreira dele como pianista mas o filme é muito bom vou dizer a verdade o filme é maravilhoso os primeiros 15 minutos dele já conta bastante história desse filme e ele é bom em todos os sentidos em todos os sentidos esse filme…', '""Para mim, a arte é uma extensão de como você se sente dentro de você.”Nessedocu-drama,o gênio Abbas Kiarostami honra a noção de por que amamos o cinema e seu verdadeiro propósito, trazendo a história real de um homem que finge ser um diretor de cinema para uma família e acaba sendo descoberto.Um filme maravilhoso e muito especial, que pode não ser tão realista, mas desperta um enorme senso de compaixão e humanidade naqueles que assistem.\xa0Isso traz para casa…', 'Dos únicos filmes deste mundo que consegue efetivamente intuir a natureza sobrenatural da fé, que consegue encená-la e fazer disso um mote universal e um drama psicológico dos mais destruidores. Incrível como mesmo dentro de um espaço físico bastante limitado existe um senso de dinâmica cênica cinematográfica sem igual. Dreyer pode até partir de uma lógica visivelmente teatral em toda a marcação e a articulação dramática das cenas em longas sequências, possivelmente uma adaptação mais do que fiel a peça original, mas no final das contas fica sempre muito claro que ele abraça mesmo uma essência espacial absolutamente cinematográfica.']"
2,1,134,1_war_antiwar_horror_vietnam,"['war', 'antiwar', 'horror', 'vietnam', 'combat', 'crimes', 'madness', 'klimov', 'movie', 'seeis']","['“The Horror…. The Horror.”Words can’t even describe this film. It’s that last hour of the film where it shows absolute madness. It captures the true horrors of war. It captures the madness shown in the breathtaking and chaotic cinematography especially the fog, smoke, and darkening atmosphere. It really goes beyond than being a film about the Vietnam War. It shows the horror of life itself. Inside and out of the war. Truly disturbing but absolutely incredible film and it just gets better.', '“The Horror…. The Horror.”Words can’t even describe this film. It’s that last hour of the film where it shows absolute madness. It captures the true horrors of war. It captures the madness shown in the breathtaking and chaotic cinematography especially the fog, smoke, and darkening atmosphere. It really goes beyond than being a film about the Vietnam War. It shows the horror of life itself. Inside and out of the war. Truly disturbing but absolutely incredible film and it just gets better.', 'Best war movie ever made.']"
3,2,124,2_mothers_daughter_father_mom,"['mothers', 'daughter', 'father', 'mom', 'dad', 'family', 'daughters', 'son', 'travis', 'mother']","[""Dennis Villanova's done it again folks! Following up his sci fi masterpiece about doing drugs with your mom, with a sequel about doing newer, even more powerful drugs with your mom.Mild complaints to annoy you:-More Lea Seydoux please-More Anya Taylor Joy please-No Guild navigators? Wtf?-For this movie to be perfect, someone should re-edit and replace the pseudo-Arabic caterwauling on the soundtrack with the Toto theme from the Lynch version."", ""Dennis Villanova's done it again folks! Following up his sci fi masterpiece about doing drugs with your mom, with a sequel about doing newer, even more powerful drugs with your mom.Mild complaints to annoy you:-More Lea Seydoux please-More Anya Taylor Joy please-No Guild navigators? Wtf?-For this movie to be perfect, someone should re-edit and replace the pseudo-Arabic caterwauling on the soundtrack with the Toto theme from the Lynch version."", ""Dennis Villanova's done it again folks! Following up his sci fi masterpiece about doing drugs with your mom, with a sequel about doing newer, even more powerful drugs with your mom.Mild complaints to annoy you:-More Lea Seydoux please-More Anya Taylor Joy please-No Guild navigators? Wtf?-For this movie to be perfect, someone should re-edit and replace the pseudo-Arabic caterwauling on the soundtrack with the Toto theme from the Lynch version.""]"
4,3,116,3_episode_season_episodes_series,"['episode', 'season', 'episodes', 'series', 'seasons', 'shows', 'im', 'sunny', 'animation', 'philadelphia']","['Absolutely the best miniseries I have ever seen. Possibly the best miniseries ever made andyesI am absolutely serious.Everything in this was the best choice. The whole thing continuously impressed me, but that ending to episode 5 slapped my ass right across the room.Across the goddamn room.The entirety of episode 6 should and will be examined in film schools from here on. Episode 10 gave me so many intense feelings including some that I usually don’t…', 'Absolutely the best miniseries I have ever seen. Possibly the best miniseries ever made andyesI am absolutely serious.Everything in this was the best choice. The whole thing continuously impressed me, but that ending to episode 5 slapped my ass right across the room.Across the goddamn room.The entirety of episode 6 should and will be examined in film schools from here on. Episode 10 gave me so many intense feelings including some that I usually don’t…', ""Season 2A new brutal journey with our beloved characters Fang and Spear. Until the final episode, I thought season 2 was better than the season 1 because this time they included other tribes from different civilizations alongside animals and natural disasters. These new civilazations gained depth to the characters and extended and fresh view to the story. Specially episode 4 was the peak of this series and Battle of the Bastards episode of all animation series.I still don't…""]"
5,4,116,4_cinematography_really_great_scenes,"['cinematography', 'really', 'great', 'scenes', 'beautiful', 'ive', 'acting', 'interesting', 'boring', 'long']","['I’m going to briefly explain why I wasn’t into this as much as other people seem to be because, trust me, I really wanted to love it. Firstly I would like to say that the last 20 minutes are the best part, creating a haunting and interesting conclusion to a story I found to be quite boring. It’s undeniable that the cinematography of the film is beautiful and filled with gorgeous colors. I generally really like movies that are shot…', 'I’m going to briefly explain why I wasn’t into this as much as other people seem to be because, trust me, I really wanted to love it. Firstly I would like to say that the last 20 minutes are the best part, creating a haunting and interesting conclusion to a story I found to be quite boring. It’s undeniable that the cinematography of the film is beautiful and filled with gorgeous colors. I generally really like movies that are shot…', 'I’m going to briefly explain why I wasn’t into this as much as other people seem to be because, trust me, I really wanted to love it. Firstly I would like to say that the last 20 minutes are the best part, creating a haunting and interesting conclusion to a story I found to be quite boring. It’s undeniable that the cinematography of the film is beautiful and filled with gorgeous colors. I generally really like movies that are shot…']"
6,5,104,5_yi_edward_yang_brighter,"['yi', 'edward', 'yang', 'brighter', 'summer', 'yangs', 'taiwanese', 'taiwan', 'dayis', 'day']","[""Life captured in a film.Edward Yang's YI YI just became one of my all-time favorite movies on a second viewing. Such an intimate, understated yet ultimately deeply affecting slice of life epic. One of the first masterpieces of the 21st-century."", '""Strange... Why are we afraid of the first time? Every day in life is a first time. Every morning is new. We never live the same day twice. We never afraid of getting up every morning...Why?""Life and people have never appeared so close and vivid, until we see them through\xa0Yi Yi/Yang Yang\xa0\'s lens. What can I say about Yi Yi that hasn’t been said before other than I’m grateful? Grateful for all the lives it has given me,…', 'Yi Yi is a quiet storm, an emotional roller coaster, and Asian cinema at its absolute finest.Yi Yi tells a poetic, compelling and heartwarming tale of a Taiwanese family in distress dealing with existential crisis. Despite its challenging 3-hour runtime, Yi Yi seldom overstays its welcome, as director Edward Yang knows when to add plot twists and hilarious gags to shake things up. Yang intertwined multiple threads of narrative into a subtle yet allegorical fable that is both a…']"
7,6,101,6_gay_queer_venus_trans,"['gay', 'queer', 'venus', 'trans', 'women', 'lesbians', 'paris', 'queens', 'drag', 'culture']","[""Still probably the great documentary about queer life ever made. It shows how hard being gay and trans was in the 80s, but it also shows how happy everyone was despite that. It's profoundly depressing at times, but the moments that stick with me most are the happy ones. Every year that goes by the world of this documentary feels more and more distant, both the bad things about that world but also some of the good."", 'Beautiful and\xa0enlightening,Paris Is Burningcelebrates the 80s transgender culture and pores over the LGBT balls of New York City. Empathetic and inclusive, this Jennie Livingston documentary is also amusing and heartbreaking in presenting stories of survival, of families disowning queens who just wanna live their truths, of trans queens dreaming to be adored, respected and seen, of people victimized by hatred and homophobia (the way I gasped when Venus died, and how brutally she was murdered shattered my heart.)…', '""I don\'t think the world has been fair to me.""Black trans women, the most marginalized and persecuted group in America, created the most fabulous, empowering and pioneering art form out of that collective pain. Between the glamorous house culture, to the realistic struggles of the drag queens, Paris Is Burning faithfully documents a tragically beautiful facet of queer history that truly paved the way.Interpolating actual footage of ball competitions where trans women compete in drag with interviews with…']"
8,7,92,7_bergman_ingmar_bergmans_films,"['bergman', 'ingmar', 'bergmans', 'films', 'theatrical', 'god', 'swedish', 'ghostly', 'edvard', 'sweden']","['☆""I\'ve grown wiser since then.""""You mean you lie better.""""More or less.""☆My Journey into the Films of Ingmar Bergman -- Part 51 of 62How many other filmmakers in history were still capable of this kind of achievement over three-and-a-half decades after the beginning of their career? Apparently Ingmar Bergman stands with the likes of Ozu and Hitchcock with this masterfulFanny & Alexanderfrom 1982, the theatrical version released first before the longer television miniseries. That five-hour-plus film…', 'consider this: Ingmar Bergman is god', 'consider this: Ingmar Bergman is god']"
9,8,84,8_sand_dunes_hiroshi_woman,"['sand', 'dunes', 'hiroshi', 'woman', 'dunesis', 'entomologist', 'teshigaharas', 'desert', 'villagers', 'teshigahara']","[""Woman in the Dunesis an incredibly somber, and yet threatening film. It's the story of an unnamed school teacher who likes to search for bugs in the sand and after needing a place to stay for the night nearby villagers help him. They bring him to a woman's house which is situated at the bottom of a sand sink with high walls of sand surrounding it. In the morning he realizes that it was a trap to get someone…"", ""Anyway, like I was sayin', sand is the grass of the desert. There's uh, white sand, black sand, pink sand, red-orange sand, pit sand, quicksand, volcanic sand, heavy mineral sand, river sand, coarse sand, fine sand, silica sand, glass sand, coral sand, biogenic sand, sea sand, green sand. That- that's about it."", 'sand']"
