Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
1-Dimensional Thinking," The Nazgûl at the Fords of Bruinen. Instead of just riding back into the forest, they ride downstream where the wave is certain to catch them... because the water has distorted all sense of direction for them (hence why they were reluctant to cross in the first place).",,,,,,,,
Aborted Arc," Bilbo's departure from the Shire is an in-universe example. Bilbo's intention for his retirement was to retrace his and the Company of the Dwarves’ journey and revisit the familiar locales of his youth (Mirkwood, Lake-town, and Erebor). However, those travel plans were made before Bilbo relinquished the Ring (and without knowing it was actually responsible for his longevity). With it gone, Bilbo’s chronological age began catching up with him and he only made it as far as Rivendell before being forced to call it quits.",,,,,,,,
Achey Scars, Frodo Baggins receives a painful scar that nearly kills him . The Nazgûl confront him and his friends on Weathertop and attack them; it is in the ensuing battle that Frodo receives a wound from his enemy that will never fully heal .,,,,,,,,
"Action Film, Quiet Drama Scene"," The heartwarming and peaceful scenes of The Shire (especially in the Director's Cut), filled with laughter, friendship and happy children (what a warrior lays down his life to protect) is what makes us actually care whether or not Frodo and the Fellowship defeat the Lord of the Rings or not.",,,,,,,,
Actually Pretty Funny," When Gandalf arrives at Bag End and knocks on the front door, he expects a warm greeting from his old dear friend. Gandalf’s instead greeted by the Hobbit (who doesn’t realize who’s knocking) yelling through the closed door and going on a very Bilbo-esque tirade about visitors, well-wishers, and distant relations. Gandalf just stares at the door throughout all this before chuckling. Even 60 years after the Quest of Erebor , Bilbo is still Bilbo.",,,,,,,,
Adaptational Angst Upgrade, Gimli has a far more stoic reaction to Balin's fate in the book.,,,,,,,,
Adaptation Explanation Extrication," Tom Bombadil is cut from the film, along with the scene with where he rescues the hobbits from the Barrow-wights and takes their enchanted daggers which Merry uses to slay the Witch-king . Here, he uses an Elven dagger gifted by Galadriel which is never truly hinted or explained whether it's effective against the Witch-king of Angmar unless it's enchanted in a similar way with the books counterpart. Then again, it's a gift of Galadriel . Gandalf stops at Rohan in the first book before going to Rivendell, attempting to warn Theoden about Saruman's Face–Heel Turn — but Grima Wormtongue has already started poisoning his mind. This is eliminated from the film, so it's not explained how Gandalf is so up-to-date on what's been happening in Rohan.",,,,,,,,
a gift of Galadriel,"rom the film, along with the scene with where he rescues the hobbits from the Barrow-wights and takes their enchanted daggers which Merry uses to slay the Witch-king . Here, he uses an Elven dagger gifted by Galadriel which is never truly hinted or explained whether it's effective against the Witch-king of Angmar unless it's enchanted in a similar way with the books counterpart. Then again, it's a gift of Galadriel .",,,,,,,,
Face–Heel Turn," Rohan in the first book before going to Rivendell, attempting to warn Theoden about Saruman's Face–Heel Turn — but Grima Wormtongue has already started poisoning his mind. This is eliminated from the film, so it's not explained how Gandalf is so up-to-date on what's been happening in Rohan.",,,,,,,,
Adaptational Context Change," Galadriel's iconic introductory voice-over was originally spoken by Treebeard in the book, where he laments to Gandalf about the past. The film has Galadriel reminiscing about the history of the Ring. Sam says the exact same line to Frodo at the end of both the book and movie: ""Of course you are, and I'm coming with you!"" In the book, Frodo has just said, ""But I am going to Mordor!"", but in the movie the line is changed to ""I'm going to Mordor alone!"", which makes Sam's response a lot more humorous.",,,,,,,,
Adaptation Dye-Job," Boromir in is described as having dark hair. For the movies they gave him light brown, bordering on blond. note In the books, Boromir looks a lot like Aragorn (they're related). The director probably felt that this would look confusing on film. The elves of Lothlórien are shown to be uniformly blonde, though only elves with particularly strong Vanyar ancestry, such as Galadriel, have blonde hair in the books.",,,,,,,,
