,trope,length,Romance,Comedy,Action,Adventure,Horror,Thriller,Crime,Drama,History,Mystery,War,Science Fiction,TV Movie,Fantasy,Music,Family,Documentary,Western,Animation
0, ArgentineMedia,4,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
1,BlackMagic,28,2,6,3,4,19,5,0,4,0,4,0,1,0,12,1,3,0,0,1
2,ChekhovsGun,1801,195,601,575,410,346,543,291,625,47,200,49,315,27,203,45,161,22,42,24
3,ChekhovsGunman,509,67,184,151,97,72,150,114,198,14,67,18,69,9,42,10,36,10,13,8
4,DramaticThunder,105,11,36,21,20,32,20,10,33,3,15,2,17,1,27,3,13,0,0,1
5,DueToTheDead,193,12,23,77,56,26,42,18,93,31,7,35,29,6,16,3,5,7,19,2
6,EvilMentor,53,1,14,20,7,9,12,11,29,1,5,0,9,1,6,1,5,2,1,0
7,ExactWords,499,68,202,146,149,53,89,65,153,17,43,13,96,11,97,11,72,4,16,9
8,FilmsOf20102014,1252,175,394,257,118,255,352,149,576,52,86,34,138,32,97,46,60,48,20,18
9,GrayRainOfDepression,90,26,23,11,13,5,11,13,60,6,5,6,5,0,9,5,7,2,2,1
10,GreatOffscreenWar,32,3,4,16,18,3,7,1,8,0,1,2,15,0,7,0,2,1,1,0
11,HesBack,63,3,23,34,28,5,7,5,15,1,0,1,20,1,12,2,6,1,2,2
12,HistoricalHeroUpgrade,163,20,16,47,37,7,16,17,111,68,3,37,7,4,10,3,2,5,10,0
13,HowWeGotHere,401,70,96,76,37,42,90,85,223,28,37,26,44,11,27,17,9,20,6,2
14,ItAlwaysRainsAtFunerals,38,6,7,11,4,9,8,6,18,1,3,0,6,0,4,1,1,0,0,0
15,OffscreenMomentOfAwesome,136,19,39,64,49,22,26,17,41,10,10,8,37,0,20,3,7,2,3,0
16,RightfulKingReturns,30,3,3,14,18,2,6,0,9,1,0,0,5,2,16,1,4,1,0,0
17,SexyDiscretionShot,160,53,60,22,21,21,36,23,78,7,17,4,14,2,15,9,3,1,3,0
18,TheExile,25,5,2,10,8,2,3,2,15,5,1,1,5,1,5,0,1,0,1,0
19,ThouShaltNotKill,76,6,9,40,21,2,22,19,27,4,4,8,14,0,10,0,5,1,2,1
20,VeryLooselyBasedOnATrueStory,470,58,95,94,68,68,111,98,298,79,27,56,14,12,18,27,22,3,16,3
21,WeWantOurJerkBack,8,2,5,0,1,0,0,0,1,0,2,0,2,0,1,0,1,0,0,1
22,WhatsUpKingDude,7,2,3,2,1,0,0,0,2,0,0,1,2,0,1,0,1,0,0,0
23, AbhorrentAdmirer,124,46,75,12,10,12,13,12,45,2,3,1,10,3,11,3,9,2,2,0
24,AcceptableTargets,23,4,13,9,3,1,5,7,5,1,1,1,3,1,3,1,0,1,1,0
25,ActorAllusion,566,66,237,243,179,51,125,87,145,14,26,20,121,6,102,18,65,3,14,9
26,AlienLunch,19,2,8,7,8,3,3,2,1,0,0,0,12,1,4,0,3,0,0,1
27,AllLowerCaseLetters,10,3,2,2,1,2,3,0,6,1,0,0,1,0,0,0,1,0,0,0
28,AllLowercaseLetters,17,3,3,3,1,3,4,1,9,1,0,0,2,0,0,0,1,0,0,0
29,Alllowercaseletters,11,3,2,2,1,2,3,0,7,1,0,0,1,0,0,0,1,0,0,0
30,AngryGuardDog,66,7,33,5,6,16,13,12,19,2,8,2,8,2,4,2,9,0,1,2
31,AnimatedCreditsOpening,99,16,74,16,24,9,7,20,10,2,9,2,10,1,14,3,24,2,3,2
32,AnthropomorphicFood,13,1,11,1,1,6,0,0,1,0,1,0,3,1,5,1,1,0,0,0
33,ArtShift,79,9,33,20,22,16,8,10,18,3,4,1,16,5,23,1,15,4,0,7
34,AscendedMeme,32,3,11,20,20,4,5,3,3,1,0,0,14,2,9,0,5,0,0,1
35,AsianAndNerdy,40,7,23,12,8,4,6,4,13,0,4,0,7,1,1,2,3,1,0,0
36,BadJobWorseUniform,14,2,12,2,3,0,1,1,2,0,0,0,2,0,0,1,2,0,0,0
37,BlackComedySuicide,25,5,19,2,5,0,1,1,5,0,0,0,2,1,6,1,3,0,0,0
38,BlindDate,14,11,14,1,1,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0
39,BracesOfOrthodonticOverkill,16,5,14,3,2,3,2,2,2,0,1,0,0,0,1,0,4,0,0,0
40,BracesofOrthodonticOverkill,9,3,8,2,2,1,1,2,0,0,1,0,0,0,1,0,1,0,0,0
41,BreakingTheFourthWall,350,55,210,57,47,44,34,42,110,12,22,10,36,10,45,24,44,9,7,15
42,BrickJoke,878,125,509,248,198,96,141,138,236,25,55,20,137,14,109,35,103,8,18,7
43,BumblingDad,58,15,35,2,6,10,3,4,25,1,2,0,3,0,3,1,12,2,2,0
44,BungledSuicide,105,23,46,11,8,14,20,14,64,2,8,2,10,1,6,1,2,1,0,1
45,BurgerFool,45,15,29,7,6,3,7,2,13,1,0,0,7,1,3,2,3,1,0,0
46,ButtMonkey,637,87,380,163,129,60,92,95,165,17,32,18,78,9,79,16,82,4,23,11
47,CassandraTruth,489,55,171,103,89,146,135,65,144,17,47,22,83,14,78,5,63,8,8,9
48,Claymation,20,2,8,4,7,3,0,1,1,0,0,0,4,1,6,2,7,0,0,2
49,CloudCuckoolander,159,23,116,16,19,25,16,20,48,2,9,2,17,1,11,5,19,2,3,3
50,CompetitionCouponMadness,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,CoolCar,438,40,179,200,106,56,109,97,114,6,24,1,79,5,34,14,41,5,1,6
52,DidIMentionItsChristmas,72,13,28,14,18,9,18,13,34,2,7,1,8,1,10,3,6,0,2,0
53,DieOrFly,11,1,3,7,6,0,1,1,1,0,1,0,5,0,2,0,1,0,0,0
54,DisappearedDad,511,96,181,98,74,65,105,53,265,10,36,4,66,21,68,20,70,10,9,6
55,DisneyAcidSequence,52,17,37,4,15,4,2,3,16,0,2,0,4,2,15,10,20,0,1,1
56,DrivenToSuicide,1052,165,212,156,84,239,298,153,607,64,138,57,110,21,86,32,20,20,16,5
57,EccentricTownsfolk,15,3,12,1,0,0,0,1,6,0,2,1,0,0,1,1,1,0,1,0
58,EnfantTerrible,98,2,26,12,9,55,35,11,29,3,13,1,13,0,11,1,7,3,0,2
59,EverybodyHatesMath,8,3,6,1,2,0,0,0,4,0,0,0,1,0,3,0,1,0,0,0
60,EverybodyHatesMathematics,9,3,7,1,1,0,0,0,4,0,0,0,1,1,2,1,1,0,0,0
61,EveryoneHasStandards,284,27,113,66,49,40,60,51,117,14,24,9,32,7,29,7,30,2,10,5
62,EveryoneHatesMath,8,3,5,1,1,1,0,0,4,0,0,0,1,0,2,0,0,0,0,0
63,EveryoneHatesMathematics,7,3,5,1,1,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0
64,EvilGenius,76,3,16,51,38,5,30,15,14,1,5,1,25,1,9,0,2,1,1,1
65,FilmsOfThe1980s,1281,169,453,312,189,294,243,175,442,47,75,50,191,27,129,54,76,40,17,21
66,FiveSecondForeshadowing,127,11,32,49,45,22,35,16,34,4,11,6,43,0,17,3,12,1,0,2
67,ForeignExchangeStudent,14,7,11,2,2,1,0,1,4,0,1,0,1,1,0,1,1,0,0,0
68,Foreshadowing,1752,212,463,469,349,359,501,241,732,82,225,70,327,27,211,50,119,29,35,26
69,FromBadToWorse,325,27,68,91,65,67,90,51,127,20,23,26,73,5,26,6,18,8,1,1
70,FunnyBackgroundEvent,408,71,234,119,115,41,60,51,111,7,21,9,73,10,61,24,40,3,9,8
71,FunnyForeigner,123,33,86,16,19,5,11,9,35,3,9,6,13,1,11,5,6,0,4,0
72,GasolineDousing,28,3,7,9,4,6,11,9,12,0,3,2,2,2,2,0,1,0,0,0
73,HeldBackInSchool,7,2,6,0,0,1,0,0,2,0,2,0,1,0,1,0,1,0,0,0
74,HeldBackinSchool,6,2,5,0,0,1,0,0,1,0,2,0,1,0,1,0,1,0,0,0
75,HiddenDepths,382,73,184,88,63,43,62,58,159,6,20,12,38,15,43,28,38,4,10,4
76,HilariouslyAbusiveChildHood,10,3,9,1,1,0,3,2,2,0,1,0,0,0,1,0,2,0,0,0
77,HilariouslyAbusiveChildhood,30,5,26,8,6,1,3,6,4,0,2,0,0,0,2,0,6,0,1,0
78,HitmanWithAHeart,73,5,12,41,10,5,44,40,27,2,6,1,5,2,3,1,1,1,2,1
79,HomeMadeSweaterFromHell,11,4,9,0,1,0,0,0,4,0,0,0,0,0,3,0,4,1,1,0
80,HomemadeSweaterFromHell,13,4,11,1,1,0,0,0,4,0,0,0,1,0,3,0,5,1,1,0
81,HugeGuyTinyGirl,68,16,29,21,16,10,8,5,22,1,2,1,11,1,12,3,4,0,3,0
82,IHaveToGoIronMyDog,32,15,25,3,2,2,1,1,12,0,1,0,2,0,4,2,5,0,1,1
83,IHaveToIronMyDog,31,12,23,3,2,2,1,1,11,0,1,0,2,0,4,2,5,0,1,2
